number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_samples_split,params_n_estimators,state
0,0.975,2025-03-01 16:08:53.024960,2025-03-01 16:08:53.240538,0 days 00:00:00.215578,22,5,25,COMPLETE
1,0.9722222222222222,2025-03-01 16:08:53.242533,2025-03-01 16:08:53.408456,0 days 00:00:00.165923,25,10,29,COMPLETE
2,0.975,2025-03-01 16:08:53.409954,2025-03-01 16:08:53.994622,0 days 00:00:00.584668,25,6,105,COMPLETE
3,0.9361111111111111,2025-03-01 16:08:53.996624,2025-03-01 16:08:54.176520,0 days 00:00:00.179896,5,5,44,COMPLETE
4,0.9722222222222222,2025-03-01 16:08:54.177374,2025-03-01 16:08:54.765047,0 days 00:00:00.587673,13,4,96,COMPLETE
5,0.9666666666666667,2025-03-01 16:08:54.766041,2025-03-01 16:08:55.379692,0 days 00:00:00.613651,15,8,110,COMPLETE
6,0.9388888888888889,2025-03-01 16:08:55.381688,2025-03-01 16:08:55.567600,0 days 00:00:00.185912,5,6,39,COMPLETE
7,0.9777777777777777,2025-03-01 16:08:55.568582,2025-03-01 16:08:56.559036,0 days 00:00:00.990454,20,3,181,COMPLETE
8,0.9638888888888889,2025-03-01 16:08:56.560035,2025-03-01 16:08:56.925804,0 days 00:00:00.365769,14,9,77,COMPLETE
9,0.9722222222222222,2025-03-01 16:08:56.926698,2025-03-01 16:08:57.366472,0 days 00:00:00.439774,10,2,92,COMPLETE
10,0.9694444444444444,2025-03-01 16:08:57.368450,2025-03-01 16:08:58.464745,0 days 00:00:01.096295,19,2,190,COMPLETE
11,0.9722222222222222,2025-03-01 16:08:58.465743,2025-03-01 16:08:59.614085,0 days 00:00:01.148342,21,4,199,COMPLETE
12,0.9805555555555555,2025-03-01 16:08:59.619083,2025-03-01 16:09:00.739444,0 days 00:00:01.120361,30,3,152,COMPLETE
13,0.9805555555555555,2025-03-01 16:09:00.741442,2025-03-01 16:09:01.622959,0 days 00:00:00.881517,30,3,154,COMPLETE
14,0.9805555555555555,2025-03-01 16:09:01.623958,2025-03-01 16:09:02.521444,0 days 00:00:00.897486,30,3,148,COMPLETE
15,0.9666666666666667,2025-03-01 16:09:02.522464,2025-03-01 16:09:03.226082,0 days 00:00:00.703618,29,7,139,COMPLETE
16,0.9805555555555555,2025-03-01 16:09:03.229066,2025-03-01 16:09:04.128570,0 days 00:00:00.899504,27,3,160,COMPLETE
17,0.975,2025-03-01 16:09:04.130547,2025-03-01 16:09:04.855133,0 days 00:00:00.724586,24,4,137,COMPLETE
18,0.9694444444444444,2025-03-01 16:09:04.856757,2025-03-01 16:09:06.109045,0 days 00:00:01.252288,30,2,169,COMPLETE
19,0.9777777777777777,2025-03-01 16:09:06.110387,2025-03-01 16:09:06.783023,0 days 00:00:00.672636,18,5,128,COMPLETE
